City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Shenjiamen,CN,29.96,122.3,64.85,67,53,4.94,broken clouds
109,Luwuk,ID,-0.95,122.79,81.0,68,100,3.76,overcast clouds
110,Fairbanks,US,64.84,-147.72,34.0,79,1,3.44,clear sky
111,Manokwari,ID,-0.87,134.08,81.66,72,99,1.77,overcast clouds
112,Sambava,MG,-14.27,50.17,70.23,83,0,9.24,clear sky
113,Lavrentiya,RU,65.58,-171.0,33.75,88,96,8.14,overcast clouds
114,Hualmay,PE,-11.1,-77.61,64.06,80,53,10.04,broken clouds
115,Zarand,IR,30.81,56.56,44.83,51,0,4.43,clear sky
116,Thompson,CA,55.74,-97.86,26.6,49,75,9.17,light shower snow
117,Bonavista,CA,48.65,-53.11,39.99,83,34,15.01,scattered clouds
118,Avarua,CK,-21.21,-159.78,78.8,65,76,14.99,broken clouds
119,Ribeira Grande,PT,38.52,-28.7,64.92,70,72,3.53,broken clouds
120,Zhigansk,RU,66.77,123.37,-2.97,89,2,5.32,clear sky
121,Longyearbyen,SJ,78.22,15.64,28.4,79,75,9.17,broken clouds
122,Tessalit,ML,20.2,1.01,78.31,16,0,9.04,clear sky
123,Saint Anthony,US,45.02,-93.22,28.4,74,90,8.05,overcast clouds
124,Kashan,IR,33.98,51.44,54.93,44,0,0.96,clear sky
125,Shelton,US,41.32,-73.09,53.6,62,90,6.93,overcast clouds
126,Huarmey,PE,-10.07,-78.15,65.08,79,39,8.7,scattered clouds
127,Sidi Ali,DZ,36.1,0.42,61.3,78,0,12.88,clear sky
128,Barrow,US,71.29,-156.79,26.6,73,90,5.82,overcast clouds
129,Vestmannaeyjar,IS,63.44,-20.27,44.19,74,0,1.92,clear sky
130,Talnakh,RU,69.49,88.4,10.4,85,75,13.42,light shower snow
131,Provideniya,RU,64.38,-173.3,35.6,74,90,4.47,overcast clouds
132,Upington,ZA,-28.45,21.26,71.6,15,19,3.36,few clouds
133,Khatanga,RU,71.97,102.5,6.28,95,94,9.51,overcast clouds
134,Kaabong,UG,3.48,34.15,68.61,67,89,14.07,overcast clouds
135,Paraguacu Paulista,BR,-22.41,-50.58,79.23,57,26,4.03,scattered clouds
136,Jinchang,CN,38.5,102.17,40.3,57,98,4.63,overcast clouds
137,Shache,CN,38.42,77.24,40.42,56,100,3.22,overcast clouds
138,Ponta Delgada,PT,37.73,-25.67,59.0,82,20,5.82,few clouds
139,Sovetskiy,RU,61.36,63.58,25.07,98,97,3.67,overcast clouds
140,Shchors,UA,51.82,31.95,44.1,94,81,4.52,broken clouds
141,Waipawa,NZ,-41.41,175.52,63.0,82,96,21.92,overcast clouds
142,Torbay,CA,47.67,-52.73,41.0,80,75,21.92,broken clouds
143,Fukue,JP,32.69,128.84,65.95,58,0,9.71,clear sky
144,Klaipeda,LT,55.72,21.12,51.8,87,13,10.29,few clouds
145,Clyde River,CA,70.47,-68.59,12.2,85,75,5.82,broken clouds
146,New Norfolk,AU,-42.78,147.06,57.0,52,2,1.01,clear sky
147,Kahului,US,20.89,-156.47,93.2,49,40,14.99,scattered clouds
148,Plettenberg Bay,ZA,-34.05,23.37,62.17,90,100,14.0,light rain
149,Bahir Dar,ET,11.59,37.39,59.49,81,8,3.13,clear sky
150,Maniwaki,CA,46.38,-75.97,32.85,82,67,1.39,broken clouds
151,Cap-Aux-Meules,CA,47.38,-61.86,37.4,55,75,31.09,broken clouds
152,Kudahuvadhoo,MV,2.67,72.89,82.11,76,63,8.46,broken clouds
153,Fuxin,CN,42.02,121.66,46.36,55,41,1.01,scattered clouds
154,Beringovskiy,RU,63.05,179.32,30.85,92,45,2.26,scattered clouds
155,Marzuq,YE,14.4,46.47,62.1,31,0,0.74,clear sky
156,Port Elizabeth,ZA,-33.92,25.57,62.6,93,75,11.41,light rain
157,Butaritari,KI,3.07,172.79,81.27,71,57,9.33,broken clouds
158,Oceanside,US,33.2,-117.38,71.6,64,90,8.05,overcast clouds
159,Nanortalik,GL,60.14,-45.24,35.35,87,99,15.08,light rain
160,Mahebourg,MU,-20.41,57.7,71.6,88,75,9.17,shower rain
161,Cidreira,BR,-30.18,-50.21,69.13,88,14,25.75,few clouds
162,Sitka,US,57.05,-135.33,41.0,80,90,21.92,moderate rain
163,General Roca,AR,-39.03,-67.58,66.2,22,0,14.99,clear sky
164,Grand Gaube,MU,-20.01,57.66,73.0,78,69,7.0,broken clouds
165,Kaeo,NZ,-35.1,173.78,71.01,69,20,7.0,few clouds
166,Atasu,KZ,48.68,71.64,43.68,58,100,15.35,overcast clouds
167,Namibe,AO,-15.2,12.15,68.58,78,46,2.39,scattered clouds
168,Shimoda,JP,34.67,138.95,57.0,78,99,6.46,overcast clouds
169,Kodiak,US,57.79,-152.41,48.2,87,90,16.11,light rain
170,Arraial Do Cabo,BR,-22.97,-42.03,71.6,83,75,10.49,broken clouds
171,Abu Zabad,SD,12.35,29.25,79.56,25,19,12.1,few clouds
172,Riyadh,SA,24.69,46.72,64.4,42,0,5.35,clear sky
173,Fougamou,GA,-1.22,10.58,74.07,95,100,1.52,light rain
174,Tuatapere,NZ,-46.13,167.68,53.01,63,92,5.99,overcast clouds
175,College,US,64.86,-147.8,34.0,79,75,3.49,broken clouds
176,Minsk,BY,53.9,27.57,44.6,100,90,6.71,mist
177,Le Port,RE,-20.94,55.29,73.4,69,0,18.34,clear sky
178,Christchurch,NZ,-43.53,172.63,57.0,93,100,10.29,mist
179,Fare,PF,-16.7,-151.02,80.67,71,14,7.31,light rain
180,Esperance,AU,-33.87,121.9,55.4,66,0,19.46,clear sky
181,Georgetown,MY,5.41,100.34,78.8,88,40,5.68,light rain
182,Castro,BR,-24.79,-50.01,63.21,91,0,5.41,clear sky
183,Praia Da Vitoria,PT,38.73,-27.07,63.0,82,75,2.84,broken clouds
184,Mnogovershinnyy,RU,53.94,139.92,29.79,98,75,9.98,broken clouds
185,Krasnoarmeysk,RU,51.02,45.7,42.01,65,4,11.01,clear sky
186,Indramayu,ID,-6.33,108.32,80.67,78,100,5.86,overcast clouds
187,Caravelas,BR,-17.71,-39.25,72.61,97,100,8.48,light rain
188,Ilulissat,GL,69.22,-51.1,12.2,61,74,2.24,broken clouds
189,Guerrero Negro,MX,27.98,-114.06,71.08,65,47,17.34,scattered clouds
190,Tendukheda,IN,23.4,79.55,68.72,54,0,2.77,clear sky
191,Farah,AF,32.5,62.5,44.58,58,0,2.28,clear sky
192,Ixtapa,MX,20.7,-105.2,88.0,79,40,11.41,scattered clouds
193,Lima,PE,-12.04,-77.03,64.4,77,20,11.41,few clouds
194,Abalak,RU,58.13,68.59,33.21,99,100,2.55,overcast clouds
195,Bucine,IT,43.48,11.61,57.0,93,3,5.01,clear sky
196,Ilek,RU,51.53,53.38,48.92,78,97,19.71,overcast clouds
197,Geraldton,AU,-28.77,114.6,60.8,87,0,4.7,clear sky
198,Mezen,RU,65.85,44.24,15.66,97,5,4.18,clear sky
199,San Patricio,US,28.02,-97.52,82.4,69,75,20.8,broken clouds
200,Placido De Castro,BR,-10.34,-67.19,84.81,63,67,3.24,moderate rain
201,Bengkulu,ID,-3.8,102.27,74.93,87,100,4.99,light rain
202,Saint-Augustin,CA,51.23,-58.65,32.29,86,2,12.37,clear sky
203,Rio Verde De Mato Grosso,BR,-18.92,-54.84,84.09,58,37,1.05,scattered clouds
204,Omboue,GA,-1.57,9.26,77.34,87,100,7.18,light rain
205,Adjumani,UG,3.38,31.79,67.87,98,100,2.28,moderate rain
206,Araouane,ML,18.9,-3.53,87.1,13,0,8.01,clear sky
207,Bowling Green,US,36.99,-86.44,57.2,87,90,3.36,overcast clouds
208,Vangaindrano,MG,-23.35,47.6,68.63,91,53,5.37,light rain
209,Sao Felix Do Xingu,BR,-6.64,-51.99,80.56,63,79,1.3,broken clouds
210,Comodoro Rivadavia,AR,-45.87,-67.5,64.4,35,0,16.11,clear sky
211,Port-Cartier,CA,50.03,-66.87,34.0,50,20,5.82,few clouds
212,Hondo,JP,32.45,130.2,57.2,93,20,8.05,few clouds
213,Saskylakh,RU,71.92,114.08,7.61,93,100,10.33,overcast clouds
214,Maragogi,BR,-9.01,-35.22,76.89,82,35,11.72,scattered clouds
215,Airai,TL,-8.93,125.41,67.77,84,98,1.57,overcast clouds
216,Ciudad Bolivar,VE,8.12,-63.55,81.55,74,78,10.38,moderate rain
217,Port Hedland,AU,-20.32,118.57,75.2,78,81,9.17,broken clouds
218,Kaili,ID,-3.46,120.21,73.13,82,73,0.63,broken clouds
219,Pochutla,MX,15.74,-96.47,86.0,70,40,5.12,scattered clouds
220,Kavaratti,IN,10.57,72.64,81.39,75,88,4.52,overcast clouds
221,Sinjar,IQ,36.32,41.88,59.09,40,97,1.79,overcast clouds
222,Mahibadhoo,MV,3.78,72.97,81.93,79,94,9.42,light rain
223,San Mateo Ixtatan,GT,15.83,-91.48,54.97,100,72,4.03,light rain
224,Kralendijk,BQ,12.15,-68.27,86.0,70,40,16.11,scattered clouds
225,Berlin,DE,52.52,13.41,54.0,81,0,6.93,clear sky
