City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Saint-Georges,GD,84.2,few clouds,12.06,-61.75,Siesta Hotel
408,Dzaoudzi,YT,77.0,clear sky,-12.79,45.27,Le Rocher
414,San Carlos,VE,76.68,moderate rain,9.66,-68.58,Hotel Paternopoli
420,Oriximina,BR,86.32,few clouds,-1.77,-55.87,Pousada Tia Amélia
425,Pangkalanbuun,ID,75.72,light rain,-2.68,111.62,Grand Kecubung Hotel
429,Bambanglipuro,ID,78.44,light rain,-7.95,110.28,Puri Brata
436,Lae,PG,75.2,scattered clouds,-6.72,146.98,Phils Hotel
437,Labuhan,ID,79.38,overcast clouds,-6.88,112.21,bador sepret
438,Ketou,BJ,75.6,overcast clouds,7.36,2.6,Residences Celine Hotel Ketou
439,Sabang,ID,82.33,overcast clouds,5.89,95.32,Hotel Citra
442,Daru,PG,82.65,broken clouds,-9.08,143.21,New century hotel
444,Yenagoa,NG,75.67,broken clouds,4.92,6.26,Amba Hotels Limited
445,Ambulu,ID,77.32,broken clouds,-8.35,113.61,Hotel Ambulu Jember
450,Yeppoon,AU,78.8,broken clouds,-23.13,150.73,Villa Mar Colina
452,Dingle,PH,75.81,light rain,11.0,122.67,Camp Pasica
455,Mier,MX,88.0,clear sky,26.43,-99.15,Hotel Don Jacinto
457,Bitung,ID,75.2,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
460,Casas Grandes,MX,80.01,overcast clouds,30.37,-107.95,PUEBLO DEL SOuL
462,Samarai,PG,82.45,scattered clouds,-10.62,150.67,Nuli Sapi
464,Pauini,BR,75.83,overcast clouds,-7.71,-66.98,Casa do Kiwliks
466,Kiunga,PG,77.79,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
467,Ahuimanu,US,84.99,scattered clouds,21.44,-157.84,Paradise Bay Resort
470,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
473,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
474,Wanning,CN,77.34,moderate rain,18.8,110.4,Paradise Hotel
475,San Juan Del Sur,NI,82.4,scattered clouds,11.25,-85.87,Nuestra Casa
476,Mutis,CO,78.71,broken clouds,6.23,-77.4,Paraiso Escondido
477,Tiarei,PF,84.2,shower rain,-17.53,-149.33,Le Rocher de Tahiti
479,Cairns,AU,86.0,few clouds,-16.92,145.77,Mantra Trilogy Cairns
486,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
489,Alice Town,BS,78.46,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
491,Arlit,NE,78.13,clear sky,18.74,7.39,Hôtel Telwa Bungalow
493,Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
496,Honiara,SB,84.2,broken clouds,-9.43,159.95,Heritage Park Hotel
501,Kirando,TZ,77.77,scattered clouds,-7.42,30.6,Lakeshore Lodge
509,Calolbon,PH,81.14,light rain,13.6,124.1,THREE STRAND INN (Travellers Inn)
514,Piranhas,BR,78.4,light rain,-16.43,-51.82,Hotel Brasil
516,Muisne,EC,75.33,overcast clouds,0.6,-80.03,Quinta Samay
517,Bodden Town,KY,82.99,few clouds,19.28,-81.25,Will T Place
518,Domoni,KM,76.41,clear sky,-12.26,44.53,Loulou
525,San Policarpo,PH,81.1,moderate rain,12.18,125.51,Zal-Ann Beach Resort
527,Corrente,BR,79.66,overcast clouds,-3.74,-43.34,Chapadinhense Hotel
533,Meadow Lake,US,75.0,broken clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
534,Ocos,GT,86.0,broken clouds,14.51,-92.19,La Bajadita
536,Alim,PH,78.03,moderate rain,9.56,122.49,Calamai Tropica
540,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
544,Wewak,PG,81.77,light rain,-3.55,143.63,In Wewak Boutique Hotel
549,Waingapu,ID,80.46,overcast clouds,-9.66,120.26,Pondok Wisata Elim
553,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
554,Santo Tomas,PH,79.0,moderate rain,14.11,121.14,Microtel by Wyndham Batangas
557,Pyapon,MM,75.7,broken clouds,16.28,95.68,Aung Naing Thu Motel
562,Madaripur,BD,75.38,scattered clouds,23.18,90.21,Government Madaripur College Student Hostel (Female)
571,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
575,Bubaque,GW,83.57,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
582,Oron,NG,76.23,overcast clouds,4.83,8.23,Aqua Belloni Lodge
587,Bontang,ID,78.06,moderate rain,0.13,117.5,Okra Leaf Guest House Syariah
588,Santa Rosa,PH,79.0,heavy intensity rain,14.31,121.11,Erlyn’s Sta Rosa City Home
589,Nautla,MX,81.25,scattered clouds,20.22,-96.78,Casa Blanca
594,Lhokseumawe,ID,76.84,light rain,5.18,97.15,OYO 3278 Penginapan Alfajri
599,The Valley,AI,82.99,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
602,Taloda,IN,75.24,clear sky,21.57,74.22,"Hotel Aarohi & Veg& Non,veg shahada Bay bass read Taloda dist. Nandurbar"
604,Mogadishu,SO,79.7,overcast clouds,2.04,45.34,Hotel Juba
606,Manzanillo,CU,77.97,heavy intensity rain,20.34,-77.12,Adrian & Tonia
611,Tarauaca,BR,85.44,broken clouds,-8.16,-70.77,Flat Temporada
612,Kapoeta,SS,80.02,broken clouds,4.77,33.59,Eastgate Hotel
616,Ca Mau,VN,75.16,scattered clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
618,Remedios,CU,80.6,broken clouds,22.49,-79.55,Hostal Yunai
620,Anloga,GH,75.2,few clouds,5.79,0.9,Pin Drop Hotel
624,Tondano,ID,75.2,scattered clouds,1.3,124.91,Villa Bella
629,Diffa,NE,82.56,scattered clouds,13.32,12.61,ProDAF/Diffa
632,Camocim,BR,80.74,few clouds,-2.9,-40.84,Hotel Ilha do Amor
633,Russell,US,75.2,overcast clouds,32.35,-85.2,Macs
636,Mersing,MY,77.0,light rain,2.43,103.84,Timotel Hotel
641,Cajazeiras,BR,84.99,few clouds,-6.89,-38.56,Oasis Hotel
643,Kotri,PK,76.3,clear sky,25.37,68.31,Drivers Running Room
645,Barra,BR,78.21,light rain,-11.09,-43.14,Pousada Bahia
648,Itaituba,BR,84.07,scattered clouds,-4.28,-55.98,Hotel Campos
652,Wad Madani,SD,83.03,clear sky,14.4,33.52,فندق يوغسلافيا
657,Nicoya,CR,78.8,light rain,10.15,-85.45,Guayacan Real
658,Poum,NC,77.23,few clouds,-20.23,164.02,Gîte kajeon
661,Puerto Maldonado,PE,88.34,scattered clouds,-12.6,-69.18,Wasai Hotel
668,Cayenne,GF,82.4,clear sky,4.93,-52.33,Hôtel Le Dronmi
670,Assai,BR,86.0,few clouds,-23.37,-50.84,Hotel Sol Nascente
671,Acajutla,SV,78.8,light rain,13.59,-89.83,Stop.
674,Tamandare,BR,77.29,broken clouds,-8.76,-35.1,Pousada 100 Passos
678,Panji,ID,79.83,overcast clouds,-7.73,114.1,ZAKI YAMAHA SITUBONDO
682,Marsh Harbour,BS,77.14,heavy intensity rain,26.54,-77.06,Abaco Beach Resort
683,Ullal,IN,75.2,mist,12.8,74.85,AK INTERNATIONAL LODGE
685,Kirakira,SB,85.51,light rain,-10.45,161.92,SanBiz Lodge
