City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Saint George,US,2020-10-25 00:12:19,37.1,-113.58,78.01,29,1,10.29
92,Lagoa,PT,2020-10-25 00:12:19,39.05,-27.98,65.71,73,80,18.23
93,Itoman,JP,2020-10-25 00:08:04,26.12,127.67,73.4,60,20,10.29
94,Katsuura,JP,2020-10-25 00:12:20,35.13,140.3,64.99,44,75,13.87
95,Kodiak,US,2020-10-25 00:08:23,57.79,-152.41,46.4,93,90,5.82
96,Pangnirtung,CA,2020-10-25 00:12:20,66.15,-65.71,16.9,88,91,5.19
97,Yzeure,FR,2020-10-25 00:12:20,46.56,3.35,51.01,100,64,4.7
98,Buraydah,SA,2020-10-25 00:09:40,26.33,43.98,60.8,38,0,7.56
99,Khor,RU,2020-10-25 00:12:21,47.89,134.95,38.68,85,100,6.96
100,Eirunepe,BR,2020-10-25 00:12:21,-6.66,-69.87,75.0,93,89,2.73
101,Okhotsk,RU,2020-10-25 00:12:21,59.38,143.3,39.11,80,100,17.29
102,Corinth,GR,2020-10-25 00:12:07,37.94,22.96,64.0,67,0,6.73
103,Dickinson,US,2020-10-25 00:12:21,29.46,-95.05,69.01,64,75,6.93
104,Arman,RU,2020-10-25 00:12:22,59.7,150.17,40.55,75,100,5.61
105,Cooma,AU,2020-10-25 00:12:22,-36.23,149.13,42.8,87,90,18.34
106,Lompoc,US,2020-10-25 00:12:22,34.64,-120.46,66.2,63,90,12.75
107,Chapais,CA,2020-10-25 00:12:22,49.78,-74.85,26.6,79,90,9.17
108,Saint-Augustin,CA,2020-10-25 00:12:23,51.23,-58.65,46.83,93,100,22.57
109,Carutapera,BR,2020-10-25 00:12:23,-1.2,-46.02,77.56,84,6,6.35
110,Ust-Omchug,RU,2020-10-25 00:10:14,61.15,149.63,32.95,94,100,4.9
111,Axim,GH,2020-10-25 00:12:23,4.87,-2.24,77.72,87,61,7.63
112,Port Blair,IN,2020-10-25 00:09:10,11.67,92.75,80.37,79,64,4.16
113,Matara,LK,2020-10-25 00:12:23,5.95,80.54,76.59,90,77,6.22
114,Constitucion,CL,2020-10-25 00:12:23,-35.33,-72.42,53.1,86,100,8.1
115,Hithadhoo,MV,2020-10-25 00:12:24,-0.6,73.08,83.12,74,67,9.71
116,Barrow,US,2020-10-25 00:11:59,71.29,-156.79,33.8,86,90,10.29
117,Hasaki,JP,2020-10-25 00:12:24,35.73,140.83,57.0,71,75,4.7
118,Alice Springs,AU,2020-10-25 00:07:57,-23.7,133.88,66.2,34,0,16.11
119,Bela Vista,BR,2020-10-25 00:12:24,-22.11,-56.52,75.25,88,71,2.84
120,Sawtell,AU,2020-10-25 00:12:25,-30.38,153.1,80.6,61,30,8.05
121,Ilulissat,GL,2020-10-25 00:10:57,69.22,-51.1,19.4,57,20,16.11
122,Hirara,JP,2020-10-25 00:08:51,24.8,125.28,73.4,68,40,9.17
123,Lebu,CL,2020-10-25 00:12:25,-37.62,-73.65,49.8,82,28,4.9
124,Klerksdorp,ZA,2020-10-25 00:12:25,-26.85,26.67,70.74,33,35,4.45
125,Panzhihua,CN,2020-10-25 00:12:26,26.59,101.71,61.47,71,89,0.96
126,Tiksi,RU,2020-10-25 00:12:26,71.69,128.87,10.09,91,100,26.31
127,Labuhan,ID,2020-10-25 00:12:26,-6.88,112.21,81.55,78,94,7.96
128,Tuy Hoa,VN,2020-10-25 00:12:26,13.08,109.3,76.1,81,86,3.53
129,Ambilobe,MG,2020-10-25 00:12:26,-13.2,49.05,70.03,79,4,4.52
130,Saint-Philippe,RE,2020-10-25 00:07:43,-21.36,55.77,68.0,56,0,6.93
131,Tuktoyaktuk,CA,2020-10-25 00:12:27,69.45,-133.04,17.6,92,75,8.05
132,Myanaung,MM,2020-10-25 00:12:27,18.28,95.32,73.87,96,94,2.66
133,Charapan,MX,2020-10-25 00:12:27,19.67,-102.23,75.2,69,75,6.93
134,Vestmannaeyjar,IS,2020-10-25 00:12:27,63.44,-20.27,45.73,65,81,25.9
135,Ponta Do Sol,PT,2020-10-25 00:12:28,32.67,-17.1,64.4,72,20,6.93
136,Teguise,ES,2020-10-25 00:12:12,29.06,-13.56,68.0,72,20,11.41
137,Longyearbyen,SJ,2020-10-25 00:12:28,78.22,15.64,19.4,85,75,2.24
138,Turinsk,RU,2020-10-25 00:12:28,58.05,63.7,30.97,99,100,3.58
139,Klaksvik,FO,2020-10-25 00:12:28,62.23,-6.59,46.4,81,21,17.22
140,Jalu,LY,2020-10-25 00:12:29,29.03,21.55,63.93,76,0,9.04
141,Saraland,US,2020-10-25 00:12:29,30.82,-88.07,78.8,78,75,3.36
142,Mataura,NZ,2020-10-25 00:12:29,-46.19,168.86,77.0,44,100,13.0
143,Jacala,MX,2020-10-25 00:12:29,21.02,-99.18,61.09,97,23,3.62
144,Cuamba,MZ,2020-10-25 00:12:30,-14.8,36.54,71.73,63,52,3.2
145,Castro,BR,2020-10-25 00:08:03,-24.79,-50.01,63.1,91,64,3.56
146,Gravdal,NO,2020-10-25 00:12:30,68.12,13.5,40.28,74,2,13.06
147,Sunrise Manor,US,2020-10-25 00:12:30,36.21,-115.07,82.4,28,1,7.83
148,Jinan,CN,2020-10-25 00:10:57,36.67,117.0,60.01,38,78,5.84
149,San Cristobal,VE,2020-10-25 00:12:30,7.77,-72.22,86.0,62,40,5.82
150,Abonnema,NG,2020-10-25 00:12:31,4.71,6.79,73.4,100,75,4.27
151,Mahebourg,MU,2020-10-25 00:12:32,-20.41,57.7,69.8,94,75,11.41
152,Aklavik,CA,2020-10-25 00:12:32,68.22,-135.01,19.4,92,75,3.36
153,Shingu,JP,2020-10-25 00:12:32,33.73,135.98,57.2,54,20,9.17
154,Dobson,US,2020-10-25 00:12:33,36.4,-80.72,71.6,78,98,4.76
155,Riyadh,SA,2020-10-25 00:08:09,24.69,46.72,60.8,36,0,2.86
156,Souillac,MU,2020-10-25 00:07:47,-20.52,57.52,71.6,88,75,9.17
157,Mecca,SA,2020-10-25 00:12:33,21.43,39.83,75.99,41,0,1.72
158,Norman Wells,CA,2020-10-25 00:12:34,65.28,-126.83,23.0,85,75,3.36
159,Geraldton,AU,2020-10-25 00:08:05,-28.77,114.6,80.6,21,0,11.41
160,Sechura,PE,2020-10-25 00:12:34,-5.56,-80.82,66.15,72,22,15.75
161,Malindi,KE,2020-10-25 00:12:34,-3.22,40.12,78.73,80,53,11.56
162,Upington,ZA,2020-10-25 00:12:34,-28.45,21.26,71.6,23,0,8.05
163,Tuatapere,NZ,2020-10-25 00:12:34,-46.13,167.68,77.0,44,96,13.0
164,Kruisfontein,ZA,2020-10-25 00:08:40,-34.0,24.73,60.01,89,0,1.01
165,Boguchany,RU,2020-10-25 00:12:35,58.38,97.45,29.14,95,95,5.59
166,Berlevag,NO,2020-10-25 00:12:35,70.86,29.09,38.46,75,100,15.77
167,Reconquista,AR,2020-10-25 00:12:35,-29.15,-59.65,75.56,73,0,8.72
168,Sangar,RU,2020-10-25 00:12:35,63.92,127.47,10.92,95,17,1.21
169,Ormara,PK,2020-10-25 00:12:35,25.21,64.64,76.86,29,0,21.77
170,Esperance,AU,2020-10-25 00:08:34,-33.87,121.9,55.4,82,0,16.11
171,Darovskoy,RU,2020-10-25 00:12:36,58.77,47.96,29.91,97,0,4.05
172,Khandyga,RU,2020-10-25 00:12:36,62.67,135.6,12.52,91,26,1.97
173,Inta,RU,2020-10-25 00:12:36,66.03,60.17,20.75,92,94,10.96
174,Ornskoldsvik,SE,2020-10-25 00:12:36,63.29,18.72,23.0,100,41,4.7
175,Ketchikan,US,2020-10-25 00:12:37,55.34,-131.65,44.6,26,1,5.82
176,Shenkursk,RU,2020-10-25 00:12:37,62.11,42.9,29.88,98,95,6.78
177,Ondjiva,AO,2020-10-25 00:12:37,-17.07,15.73,73.38,36,34,5.53
178,Abalak,RU,2020-10-25 00:12:37,58.13,68.59,29.48,98,100,12.06
179,Ulladulla,AU,2020-10-25 00:12:38,-35.35,150.47,54.0,76,90,12.75
180,Tobermory,CA,2020-10-25 00:12:38,45.25,-81.67,30.99,89,100,3.42
181,Arandas,MX,2020-10-25 00:12:38,20.7,-102.35,65.95,42,1,4.94
182,Rio Gallegos,AR,2020-10-25 00:12:38,-51.62,-69.22,44.6,93,90,5.82
183,Juquitiba,BR,2020-10-25 00:12:38,-23.93,-47.07,68.0,77,40,2.24
184,Tazmalt,DZ,2020-10-25 00:12:39,36.39,4.4,59.0,87,0,5.82
185,Mayo,US,2020-10-25 00:09:20,38.89,-76.51,66.99,77,90,13.87
186,Camopi,GF,2020-10-25 00:12:39,3.17,-52.32,78.64,74,41,5.06
187,Louga,RU,2020-10-25 00:12:39,58.74,29.85,42.08,92,100,5.03
188,Yulara,AU,2020-10-25 00:12:39,-25.24,130.99,66.2,32,0,19.46
189,Moerai,PF,2020-10-25 00:12:39,-22.43,-151.33,72.9,77,72,21.27
190,Dhidhdhoo,MV,2020-10-25 00:12:40,6.88,73.1,82.33,72,94,6.67
191,Christchurch,NZ,2020-10-25 00:12:40,-43.53,172.63,80.01,34,67,5.82
192,Inirida,CO,2020-10-25 00:12:40,3.87,-67.92,77.41,82,57,1.92
193,Phangnga,TH,2020-10-25 00:12:40,8.45,98.53,80.01,94,75,4.7
194,Carnarvon,AU,2020-10-25 00:12:41,-24.87,113.63,71.6,94,90,17.22
195,Smestad,NO,2020-10-25 00:12:41,59.93,10.67,48.0,97,100,1.01
196,Kununurra,AU,2020-10-25 00:12:41,-15.77,128.73,87.8,70,74,5.82
197,Eyl,SO,2020-10-25 00:12:41,7.98,49.82,78.26,65,54,3.49
198,Grootfontein,NA,2020-10-25 00:12:41,-19.57,18.12,63.73,29,40,3.09
199,Bay Roberts,CA,2020-10-25 00:12:42,47.6,-53.26,48.99,96,100,15.01
200,Butembo,CD,2020-10-25 00:12:42,0.15,29.28,58.5,100,93,2.62
201,Biak,ID,2020-10-25 00:09:05,-0.91,122.88,82.65,67,100,2.08
202,Ahipara,NZ,2020-10-25 00:08:22,-35.17,173.17,69.37,63,20,5.61
203,Deputatskiy,RU,2020-10-25 00:09:23,69.3,139.9,7.65,90,0,8.3
204,Abu Kamal,SY,2020-10-25 00:12:42,34.45,40.92,69.15,24,90,7.18
205,Airai,TL,2020-10-25 00:12:42,-8.93,125.41,73.74,65,14,0.67
206,Cabo San Lucas,MX,2020-10-25 00:12:43,22.89,-109.91,87.01,58,5,11.41
207,Sayyan,YE,2020-10-25 00:12:43,15.17,44.32,48.56,42,13,2.53
208,Mehriz,IR,2020-10-25 00:12:43,31.59,54.43,55.4,32,0,2.24
209,Faanui,PF,2020-10-25 00:08:30,-16.48,-151.75,79.2,77,64,11.43
210,Castelldefels,ES,2020-10-25 00:12:44,41.28,1.97,64.0,77,0,10.29
211,Ponazyrevo,RU,2020-10-25 00:12:44,58.36,46.31,31.23,98,0,3.29
212,Kaura Namoda,NG,2020-10-25 00:12:44,12.59,6.58,78.17,23,91,7.36
213,Talakan,RU,2020-10-25 00:12:45,50.32,130.37,37.96,76,32,10.6
214,Sao Filipe,CV,2020-10-25 00:12:45,14.9,-24.5,81.21,72,100,8.95
215,Touros,BR,2020-10-25 00:12:45,-5.2,-35.46,77.0,88,40,5.82
216,San Andres,CO,2020-10-25 00:08:22,12.58,-81.7,80.6,94,75,4.7
217,Victoria,HK,2020-10-25 00:11:54,22.29,114.16,75.0,65,98,1.99
218,Newport,GB,2020-10-25 00:08:42,51.59,-3.0,48.99,97,70,16.17
219,Port Elizabeth,ZA,2020-10-25 00:12:46,-33.92,25.57,60.8,93,0,4.7
220,Clyde River,CA,2020-10-25 00:12:46,70.47,-68.59,19.4,79,90,8.05
221,Evensk,RU,2020-10-25 00:12:09,61.95,159.23,33.76,86,83,9.89
222,Salalah,OM,2020-10-25 00:08:45,17.02,54.09,73.4,49,0,2.24
223,Tanabi,BR,2020-10-25 00:12:46,-20.63,-49.65,73.6,83,95,6.02
224,Koungou,YT,2020-10-25 00:12:46,-12.73,45.2,78.8,74,90,9.17
225,Pacific Grove,US,2020-10-25 00:11:11,36.62,-121.92,66.2,63,1,6.93
226,Maumere,ID,2020-10-25 00:12:47,-8.62,122.21,83.46,72,48,4.94
227,Port Antonio,JM,2020-10-25 00:12:47,18.18,-76.46,84.2,83,75,14.99
228,Kathu,TH,2020-10-25 00:12:47,7.92,98.33,82.0,94,75,4.7
229,Mokrin,RS,2020-10-25 00:12:47,45.94,20.41,57.52,94,100,0.87
230,Gorontalo,ID,2020-10-25 00:12:47,0.54,123.06,85.01,66,99,0.78
231,Bengkulu,ID,2020-10-25 00:09:42,-3.8,102.27,77.43,81,100,3.74
232,Merauke,ID,2020-10-25 00:12:48,-8.47,140.33,83.71,72,87,5.68
233,Sambava,MG,2020-10-25 00:12:48,-14.27,50.17,70.92,85,28,9.57
234,Mount Gambier,AU,2020-10-25 00:12:48,-37.83,140.77,50.0,61,90,24.16
235,Shenjiamen,CN,2020-10-25 00:09:24,29.96,122.3,63.28,61,1,4.65
236,Marsabit,KE,2020-10-25 00:12:48,2.33,37.99,67.1,86,59,23.87
237,Fomboni,KM,2020-10-25 00:12:48,-12.28,43.74,79.39,77,25,13.73
238,Turukhansk,RU,2020-10-25 00:12:49,65.82,87.98,8.96,95,99,5.17
239,Kutum,SD,2020-10-25 00:12:49,14.2,24.67,70.97,25,33,11.5
240,Beringovskiy,RU,2020-10-25 00:12:49,63.05,179.32,31.48,96,100,15.03
241,Wanning,CN,2020-10-25 00:12:49,18.8,110.4,77.36,88,100,10.45
242,Bullhead City,US,2020-10-25 00:12:49,35.15,-114.57,86.0,30,40,13.87
243,Pryazha,RU,2020-10-25 00:12:50,61.69,33.62,35.6,90,91,6.71
244,Camacha,PT,2020-10-25 00:12:50,33.08,-16.33,62.6,77,20,2.24
245,Tahta,EG,2020-10-25 00:12:50,26.77,31.5,69.8,37,0,8.05
246,Kijang,KR,2020-10-25 00:12:50,35.24,129.21,50.0,66,0,6.93
247,Brasileia,BR,2020-10-25 00:12:50,-11.02,-68.75,84.22,57,88,2.55
248,Chuy,UY,2020-10-25 00:12:51,-33.7,-53.46,61.84,97,6,4.81
249,Paragould,US,2020-10-25 00:10:56,36.06,-90.5,48.2,81,90,12.75
250,Mizoch,UA,2020-10-25 00:12:51,50.4,26.15,46.99,98,53,13.0
251,Dir,PK,2020-10-25 00:08:23,35.21,71.88,52.97,43,98,3.36
252,Abancay,PE,2020-10-25 00:12:51,-13.63,-72.88,63.55,58,93,3.31
253,Lumut,MY,2020-10-25 00:12:51,4.23,100.63,75.2,100,20,2.24
254,Ancud,CL,2020-10-25 00:12:52,-41.87,-73.82,46.99,87,40,9.17
255,Abha,SA,2020-10-25 00:12:52,18.22,42.51,59.0,19,0,1.34
256,Cockburn Town,TC,2020-10-25 00:12:52,21.46,-71.14,83.66,81,75,19.35
257,Sterling,US,2020-10-25 00:08:15,39.01,-77.43,62.01,67,90,9.17
258,San Pietro In Casale,IT,2020-10-25 00:12:52,44.7,11.4,57.2,100,75,2.24
259,Sampit,ID,2020-10-25 00:12:53,-2.53,112.95,78.84,89,100,0.29
260,Pevek,RU,2020-10-25 00:12:53,69.7,170.31,27.79,91,2,13.47
261,High Level,CA,2020-10-25 00:09:02,58.52,-117.14,35.6,43,20,5.82
262,Diego De Almagro,CL,2020-10-25 00:10:21,-26.37,-70.05,53.76,58,17,1.43
263,Chaumont,FR,2020-10-25 00:12:54,48.12,5.13,51.01,89,74,4.0
264,Farmington,US,2020-10-25 00:10:03,36.73,-108.22,69.8,16,1,6.93
265,Vila Franca Do Campo,PT,2020-10-25 00:12:54,37.72,-25.43,66.2,93,75,19.46
266,Naze,JP,2020-10-25 00:12:54,28.37,129.48,71.6,56,40,8.05
267,Torbay,CA,2020-10-25 00:12:54,47.67,-52.73,50.0,93,90,18.34
268,That Phanom,TH,2020-10-25 00:12:54,16.94,104.71,66.47,80,81,3.69
269,Hun,LY,2020-10-25 00:12:55,29.13,15.95,62.82,46,0,5.46
270,Port Lincoln,AU,2020-10-25 00:12:55,-34.73,135.87,54.84,55,84,17.67
271,Taperoa,BR,2020-10-25 00:12:55,-7.21,-36.83,72.81,73,58,16.02
272,Anaconda,US,2020-10-25 00:12:55,46.13,-112.94,12.2,72,90,10.29
273,Nago,JP,2020-10-25 00:12:55,26.59,127.98,73.0,77,1,5.82
274,Tamiahua,MX,2020-10-25 00:12:56,21.27,-97.45,77.92,84,1,7.05
275,Chumikan,RU,2020-10-25 00:12:56,54.72,135.31,35.38,84,100,13.15
276,Cidreira,BR,2020-10-25 00:12:56,-30.18,-50.21,68.45,91,54,14.36
277,Garbolovo,RU,2020-10-25 00:12:56,60.34,30.5,37.99,83,98,1.99
278,Kawalu,ID,2020-10-25 00:12:57,-7.38,108.21,73.02,92,100,0.98
